"timeslice","energy","spec_m12","spec_m12.share","spec_m12.weight"
"m01","1","m01","0.084931499999999993","744"
"m02","2","m02","0.076712299999999997","672"
"m03","3","m03","0.084931499999999993","744"
"m04","4","m04","0.082191799999999995","720"
"m05","5","m05","0.084931499999999993","744"
"m06","6","m06","0.082191799999999995","720"
"m07","7","m07","0.084931499999999993","744"
"m08","8","m08","0.084931499999999993","744"
"m09","9","m09","0.082191799999999995","720"
"m10","10","m10","0.084931499999999993","744"
"m11","11","m11","0.082191799999999995","720"
"m12","12","m12","0.084931499999999993","744"
