"timeslice","energy","spec_m12_h24","spec_m12_h24.MONTH"
"m01_h00","1","m01_h00","m01"
"m01_h01","13","m01_h01","m01"
"m01_h02","25","m01_h02","m01"
"m01_h03","37","m01_h03","m01"
"m01_h04","49","m01_h04","m01"
"m01_h05","61","m01_h05","m01"
"m01_h06","73","m01_h06","m01"
"m01_h07","85","m01_h07","m01"
"m01_h08","97","m01_h08","m01"
"m01_h09","109","m01_h09","m01"
"m01_h10","121","m01_h10","m01"
"m01_h11","133","m01_h11","m01"
"m01_h12","145","m01_h12","m01"
"m01_h13","157","m01_h13","m01"
"m01_h14","169","m01_h14","m01"
"m01_h15","181","m01_h15","m01"
"m01_h16","193","m01_h16","m01"
"m01_h17","205","m01_h17","m01"
"m01_h18","217","m01_h18","m01"
"m01_h19","229","m01_h19","m01"
"m01_h20","241","m01_h20","m01"
"m01_h21","253","m01_h21","m01"
"m01_h22","265","m01_h22","m01"
"m01_h23","277","m01_h23","m01"
"m02_h00","2","m02_h00","m02"
"m02_h01","14","m02_h01","m02"
"m02_h02","26","m02_h02","m02"
"m02_h03","38","m02_h03","m02"
"m02_h04","50","m02_h04","m02"
"m02_h05","62","m02_h05","m02"
"m02_h06","74","m02_h06","m02"
"m02_h07","86","m02_h07","m02"
"m02_h08","98","m02_h08","m02"
"m02_h09","110","m02_h09","m02"
"m02_h10","122","m02_h10","m02"
"m02_h11","134","m02_h11","m02"
"m02_h12","146","m02_h12","m02"
"m02_h13","158","m02_h13","m02"
"m02_h14","170","m02_h14","m02"
"m02_h15","182","m02_h15","m02"
"m02_h16","194","m02_h16","m02"
"m02_h17","206","m02_h17","m02"
"m02_h18","218","m02_h18","m02"
"m02_h19","230","m02_h19","m02"
"m02_h20","242","m02_h20","m02"
"m02_h21","254","m02_h21","m02"
"m02_h22","266","m02_h22","m02"
"m02_h23","278","m02_h23","m02"
"m03_h00","3","m03_h00","m03"
"m03_h01","15","m03_h01","m03"
"m03_h02","27","m03_h02","m03"
"m03_h03","39","m03_h03","m03"
"m03_h04","51","m03_h04","m03"
"m03_h05","63","m03_h05","m03"
"m03_h06","75","m03_h06","m03"
"m03_h07","87","m03_h07","m03"
"m03_h08","99","m03_h08","m03"
"m03_h09","111","m03_h09","m03"
"m03_h10","123","m03_h10","m03"
"m03_h11","135","m03_h11","m03"
"m03_h12","147","m03_h12","m03"
"m03_h13","159","m03_h13","m03"
"m03_h14","171","m03_h14","m03"
"m03_h15","183","m03_h15","m03"
"m03_h16","195","m03_h16","m03"
"m03_h17","207","m03_h17","m03"
"m03_h18","219","m03_h18","m03"
"m03_h19","231","m03_h19","m03"
"m03_h20","243","m03_h20","m03"
"m03_h21","255","m03_h21","m03"
"m03_h22","267","m03_h22","m03"
"m03_h23","279","m03_h23","m03"
"m04_h00","4","m04_h00","m04"
"m04_h01","16","m04_h01","m04"
"m04_h02","28","m04_h02","m04"
"m04_h03","40","m04_h03","m04"
"m04_h04","52","m04_h04","m04"
"m04_h05","64","m04_h05","m04"
"m04_h06","76","m04_h06","m04"
"m04_h07","88","m04_h07","m04"
"m04_h08","100","m04_h08","m04"
"m04_h09","112","m04_h09","m04"
"m04_h10","124","m04_h10","m04"
"m04_h11","136","m04_h11","m04"
"m04_h12","148","m04_h12","m04"
"m04_h13","160","m04_h13","m04"
"m04_h14","172","m04_h14","m04"
"m04_h15","184","m04_h15","m04"
"m04_h16","196","m04_h16","m04"
"m04_h17","208","m04_h17","m04"
"m04_h18","220","m04_h18","m04"
"m04_h19","232","m04_h19","m04"
"m04_h20","244","m04_h20","m04"
"m04_h21","256","m04_h21","m04"
"m04_h22","268","m04_h22","m04"
"m04_h23","280","m04_h23","m04"
"m05_h00","5","m05_h00","m05"
"m05_h01","17","m05_h01","m05"
"m05_h02","29","m05_h02","m05"
"m05_h03","41","m05_h03","m05"
"m05_h04","53","m05_h04","m05"
"m05_h05","65","m05_h05","m05"
"m05_h06","77","m05_h06","m05"
"m05_h07","89","m05_h07","m05"
"m05_h08","101","m05_h08","m05"
"m05_h09","113","m05_h09","m05"
"m05_h10","125","m05_h10","m05"
"m05_h11","137","m05_h11","m05"
"m05_h12","149","m05_h12","m05"
"m05_h13","161","m05_h13","m05"
"m05_h14","173","m05_h14","m05"
"m05_h15","185","m05_h15","m05"
"m05_h16","197","m05_h16","m05"
"m05_h17","209","m05_h17","m05"
"m05_h18","221","m05_h18","m05"
"m05_h19","233","m05_h19","m05"
"m05_h20","245","m05_h20","m05"
"m05_h21","257","m05_h21","m05"
"m05_h22","269","m05_h22","m05"
"m05_h23","281","m05_h23","m05"
"m06_h00","6","m06_h00","m06"
"m06_h01","18","m06_h01","m06"
"m06_h02","30","m06_h02","m06"
"m06_h03","42","m06_h03","m06"
"m06_h04","54","m06_h04","m06"
"m06_h05","66","m06_h05","m06"
"m06_h06","78","m06_h06","m06"
"m06_h07","90","m06_h07","m06"
"m06_h08","102","m06_h08","m06"
"m06_h09","114","m06_h09","m06"
"m06_h10","126","m06_h10","m06"
"m06_h11","138","m06_h11","m06"
"m06_h12","150","m06_h12","m06"
"m06_h13","162","m06_h13","m06"
"m06_h14","174","m06_h14","m06"
"m06_h15","186","m06_h15","m06"
"m06_h16","198","m06_h16","m06"
"m06_h17","210","m06_h17","m06"
"m06_h18","222","m06_h18","m06"
"m06_h19","234","m06_h19","m06"
"m06_h20","246","m06_h20","m06"
"m06_h21","258","m06_h21","m06"
"m06_h22","270","m06_h22","m06"
"m06_h23","282","m06_h23","m06"
"m07_h00","7","m07_h00","m07"
"m07_h01","19","m07_h01","m07"
"m07_h02","31","m07_h02","m07"
"m07_h03","43","m07_h03","m07"
"m07_h04","55","m07_h04","m07"
"m07_h05","67","m07_h05","m07"
"m07_h06","79","m07_h06","m07"
"m07_h07","91","m07_h07","m07"
"m07_h08","103","m07_h08","m07"
"m07_h09","115","m07_h09","m07"
"m07_h10","127","m07_h10","m07"
"m07_h11","139","m07_h11","m07"
"m07_h12","151","m07_h12","m07"
"m07_h13","163","m07_h13","m07"
"m07_h14","175","m07_h14","m07"
"m07_h15","187","m07_h15","m07"
"m07_h16","199","m07_h16","m07"
"m07_h17","211","m07_h17","m07"
"m07_h18","223","m07_h18","m07"
"m07_h19","235","m07_h19","m07"
"m07_h20","247","m07_h20","m07"
"m07_h21","259","m07_h21","m07"
"m07_h22","271","m07_h22","m07"
"m07_h23","283","m07_h23","m07"
"m08_h00","8","m08_h00","m08"
"m08_h01","20","m08_h01","m08"
"m08_h02","32","m08_h02","m08"
"m08_h03","44","m08_h03","m08"
"m08_h04","56","m08_h04","m08"
"m08_h05","68","m08_h05","m08"
"m08_h06","80","m08_h06","m08"
"m08_h07","92","m08_h07","m08"
"m08_h08","104","m08_h08","m08"
"m08_h09","116","m08_h09","m08"
"m08_h10","128","m08_h10","m08"
"m08_h11","140","m08_h11","m08"
"m08_h12","152","m08_h12","m08"
"m08_h13","164","m08_h13","m08"
"m08_h14","176","m08_h14","m08"
"m08_h15","188","m08_h15","m08"
"m08_h16","200","m08_h16","m08"
"m08_h17","212","m08_h17","m08"
"m08_h18","224","m08_h18","m08"
"m08_h19","236","m08_h19","m08"
"m08_h20","248","m08_h20","m08"
"m08_h21","260","m08_h21","m08"
"m08_h22","272","m08_h22","m08"
"m08_h23","284","m08_h23","m08"
"m09_h00","9","m09_h00","m09"
"m09_h01","21","m09_h01","m09"
"m09_h02","33","m09_h02","m09"
"m09_h03","45","m09_h03","m09"
"m09_h04","57","m09_h04","m09"
"m09_h05","69","m09_h05","m09"
"m09_h06","81","m09_h06","m09"
"m09_h07","93","m09_h07","m09"
"m09_h08","105","m09_h08","m09"
"m09_h09","117","m09_h09","m09"
"m09_h10","129","m09_h10","m09"
"m09_h11","141","m09_h11","m09"
"m09_h12","153","m09_h12","m09"
"m09_h13","165","m09_h13","m09"
"m09_h14","177","m09_h14","m09"
"m09_h15","189","m09_h15","m09"
"m09_h16","201","m09_h16","m09"
"m09_h17","213","m09_h17","m09"
"m09_h18","225","m09_h18","m09"
"m09_h19","237","m09_h19","m09"
"m09_h20","249","m09_h20","m09"
"m09_h21","261","m09_h21","m09"
"m09_h22","273","m09_h22","m09"
"m09_h23","285","m09_h23","m09"
"m10_h00","10","m10_h00","m10"
"m10_h01","22","m10_h01","m10"
"m10_h02","34","m10_h02","m10"
"m10_h03","46","m10_h03","m10"
"m10_h04","58","m10_h04","m10"
"m10_h05","70","m10_h05","m10"
"m10_h06","82","m10_h06","m10"
"m10_h07","94","m10_h07","m10"
"m10_h08","106","m10_h08","m10"
"m10_h09","118","m10_h09","m10"
"m10_h10","130","m10_h10","m10"
"m10_h11","142","m10_h11","m10"
"m10_h12","154","m10_h12","m10"
"m10_h13","166","m10_h13","m10"
"m10_h14","178","m10_h14","m10"
"m10_h15","190","m10_h15","m10"
"m10_h16","202","m10_h16","m10"
"m10_h17","214","m10_h17","m10"
"m10_h18","226","m10_h18","m10"
"m10_h19","238","m10_h19","m10"
"m10_h20","250","m10_h20","m10"
"m10_h21","262","m10_h21","m10"
"m10_h22","274","m10_h22","m10"
"m10_h23","286","m10_h23","m10"
"m11_h00","11","m11_h00","m11"
"m11_h01","23","m11_h01","m11"
"m11_h02","35","m11_h02","m11"
"m11_h03","47","m11_h03","m11"
"m11_h04","59","m11_h04","m11"
"m11_h05","71","m11_h05","m11"
"m11_h06","83","m11_h06","m11"
"m11_h07","95","m11_h07","m11"
"m11_h08","107","m11_h08","m11"
"m11_h09","119","m11_h09","m11"
"m11_h10","131","m11_h10","m11"
"m11_h11","143","m11_h11","m11"
"m11_h12","155","m11_h12","m11"
"m11_h13","167","m11_h13","m11"
"m11_h14","179","m11_h14","m11"
"m11_h15","191","m11_h15","m11"
"m11_h16","203","m11_h16","m11"
"m11_h17","215","m11_h17","m11"
"m11_h18","227","m11_h18","m11"
"m11_h19","239","m11_h19","m11"
"m11_h20","251","m11_h20","m11"
"m11_h21","263","m11_h21","m11"
"m11_h22","275","m11_h22","m11"
"m11_h23","287","m11_h23","m11"
"m12_h00","12","m12_h00","m12"
"m12_h01","24","m12_h01","m12"
"m12_h02","36","m12_h02","m12"
"m12_h03","48","m12_h03","m12"
"m12_h04","60","m12_h04","m12"
"m12_h05","72","m12_h05","m12"
"m12_h06","84","m12_h06","m12"
"m12_h07","96","m12_h07","m12"
"m12_h08","108","m12_h08","m12"
"m12_h09","120","m12_h09","m12"
"m12_h10","132","m12_h10","m12"
"m12_h11","144","m12_h11","m12"
"m12_h12","156","m12_h12","m12"
"m12_h13","168","m12_h13","m12"
"m12_h14","180","m12_h14","m12"
"m12_h15","192","m12_h15","m12"
"m12_h16","204","m12_h16","m12"
"m12_h17","216","m12_h17","m12"
"m12_h18","228","m12_h18","m12"
"m12_h19","240","m12_h19","m12"
"m12_h20","252","m12_h20","m12"
"m12_h21","264","m12_h21","m12"
"m12_h22","276","m12_h22","m12"
"m12_h23","288","m12_h23","m12"
