"MONTH","share","weight","timeslice"
"m01","0.084931199999999998","744","m01"
"m02","0.076711200000000007","672","m02"
"m03","0.084931199999999998","744","m03"
"m04","0.08219280000000001","720","m04"
"m05","0.084931199999999998","744","m05"
"m06","0.08219280000000001","720","m06"
"m07","0.084931199999999998","744","m07"
"m08","0.084931199999999998","744","m08"
"m09","0.08219280000000001","720","m09"
"m10","0.084931199999999998","744","m10"
"m11","0.08219280000000001","720","m11"
"m12","0.084931199999999998","744","m12"
